nohup: ignoring input
Found outputs/batch/pitchbook_007/run_001/results.jsonl with 198 rows; expected 212. Resuming remaining cases.
Starting run_001: 212 cases.
run_001: resuming with 198/212 completed cases.
run_001 baseline_history_with_roles: case 77/212 374175356_813472702T
run_001 baseline_history_with_roles: case 78/212 381204631_481335027T
run_001 baseline_history_with_roles: case 79/212 381597158_757264750T
run_001 baseline_history_with_roles: case 80/212 395080535_182107892T
run_001 baseline_history_with_roles: case 81/212 399940332_166825866T
run_001 baseline_history_with_roles: case 82/212 407502233_884022872T
run_001 baseline_history_with_roles: case 83/212 412585624_025651118T
run_001 baseline_history_with_roles: case 84/212 414460303_211651070T
run_001 baseline_history_with_roles: case 85/212 420468035_962848541T
run_001 baseline_history_with_roles: case 86/212 420468035_511690561T
run_001 baseline_history_with_roles: case 87/212 420468035_794461215T
run_001 baseline_history_with_roles: case 88/212 420468035_575477039T
run_001 baseline_history_with_roles: case 89/212 437602468_696873542T
run_001 baseline_history_with_roles: case 90/212 438636443_443797508T
run_001 baseline_history_with_roles: case 91/212 438636443_873703575T
run_001 baseline_history_with_roles: case 92/212 440112243_958212705T
run_001 baseline_history_with_roles: case 93/212 448395548_406056984T
run_001 baseline_history_with_roles: case 94/212 461069674_595078018T
run_001 baseline_history_with_roles: case 95/212 461069674_835937778T
run_001 baseline_history_with_roles: case 96/212 464792275_466392313T
run_001 baseline_history_with_roles: case 97/212 464792275_666771444T
run_001 baseline_history_with_roles: case 98/212 470615116_034207575T
run_001 baseline_history_with_roles: case 99/212 470615116_012605103T
run_001 baseline_history_with_roles: case 100/212 470615116_707165066T
run_001 baseline_history_with_roles: case 101/212 470615116_175642053T
run_001 baseline_history_with_roles: case 102/212 475833516_817945631T
run_001 baseline_history_with_roles: case 103/212 475833516_479374908T
run_001 baseline_history_with_roles: case 104/212 475833516_289782756T
run_001 baseline_history_with_roles: case 105/212 480864606_323992104T
run_001 baseline_history_with_roles: case 106/212 492919674_179212744T
run_001 baseline_history_with_roles: case 107/212 498664659_416326831T
run_001 baseline_history_with_roles: case 108/212 498664659_475788454T
run_001 baseline_history_with_roles: case 109/212 498664659_127876786T
run_001 baseline_history_with_roles: case 110/212 498664659_910413812T
run_001 baseline_history_with_roles: case 111/212 507882550_218425636T
run_001 baseline_history_with_roles: case 112/212 507882550_824010376T
run_001 baseline_history_with_roles: case 113/212 507882550_032913579T
run_001 baseline_history_with_roles: case 114/212 507932721_999705580T
run_001 baseline_history_with_roles: case 115/212 514864801_433459794T
run_001 baseline_history_with_roles: case 116/212 514864801_404036528T
run_001 baseline_history_with_roles: case 117/212 521994069_105951505T
run_001 baseline_history_with_roles: case 118/212 521994069_403809583T
run_001 baseline_history_with_roles: case 119/212 521994069_320669634T
run_001 baseline_history_with_roles: case 120/212 532341497_266608912T
run_001 baseline_history_with_roles: case 121/212 532476121_916845364T
run_001 baseline_history_with_roles: case 122/212 532476121_216082716T
run_001 baseline_history_with_roles: case 123/212 547069886_622250329T
run_001 baseline_history_with_roles: case 124/212 547069886_658647050T
run_001 baseline_history_with_roles: case 125/212 547069886_055905717T
run_001 baseline_history_with_roles: case 126/212 547069886_965135854T
run_001 baseline_history_with_roles: case 127/212 547069886_121337813T
run_001 baseline_history_with_roles: case 128/212 547069886_073546620T
run_001 baseline_history_with_roles: case 129/212 547069886_421335654T
run_001 baseline_history_with_roles: case 130/212 550085105_987629757T
run_001 baseline_history_with_roles: case 131/212 550085105_454903106T
run_001 baseline_history_with_roles: case 132/212 561552348_175210801T
run_001 baseline_history_with_roles: case 133/212 613912775_146007652T
run_001 baseline_history_with_roles: case 134/212 613912775_798380947T
run_001 baseline_history_with_roles: case 135/212 613912775_710184722T
run_001 baseline_history_with_roles: case 136/212 617768550_348397524T
run_001 baseline_history_with_roles: case 137/212 625322647_365842370T
run_001 baseline_history_with_roles: case 138/212 627018345_056824043T
run_001 baseline_history_with_roles: case 139/212 627018345_496692556T
run_001 baseline_history_with_roles: case 140/212 627018345_377129745T
run_001 baseline_history_with_roles: case 141/212 627018345_449868806T
run_001 baseline_history_with_roles: case 142/212 641096591_470066679T
run_001 baseline_history_with_roles: case 143/212 641096591_381168485T
run_001 baseline_history_with_roles: case 144/212 641096591_979600248T
run_001 baseline_history_with_roles: case 145/212 647037600_894423158T
run_001 baseline_history_with_roles: case 146/212 647037600_445584285T
run_001 baseline_history_with_roles: case 147/212 648433679_100432341T
run_001 baseline_history_with_roles: case 148/212 648433679_703984858T
run_001 baseline_history_with_roles: case 149/212 673087256_648833497T
run_001 baseline_history_with_roles: case 150/212 695406116_499898191T
run_001 baseline_history_with_roles: case 151/212 695406116_977223306T
run_001 baseline_history_with_roles: case 152/212 695406116_843339679T
run_001 baseline_history_with_roles: case 153/212 712239740_964247306T
run_001 baseline_history_with_roles: case 154/212 715033945_619516421T
run_001 baseline_history_with_roles: case 155/212 715033945_181019126T
run_001 baseline_history_with_roles: case 156/212 715033945_782061400T
run_001 baseline_history_with_roles: case 157/212 715033945_910469984T
run_001 baseline_history_with_roles: case 158/212 715033945_282542900T
run_001 baseline_history_with_roles: case 159/212 719387351_143471987T
run_001 baseline_history_with_roles: case 160/212 719387351_242303307T
run_001 baseline_history_with_roles: case 161/212 719387351_846635359T
run_001 baseline_history_with_roles: case 162/212 731974964_147367317T
run_001 baseline_history_with_roles: case 163/212 731974964_595520876T
run_001 baseline_history_with_roles: case 164/212 733989984_993110016T
run_001 baseline_history_with_roles: case 165/212 749494801_557473942T
run_001 baseline_history_with_roles: case 166/212 749494801_437639184T
run_001 baseline_history_with_roles: case 167/212 749494801_221812960T
run_001 baseline_history_with_roles: case 168/212 754355015_689328261T
run_001 baseline_history_with_roles: case 169/212 754355015_648577141T
run_001 baseline_history_with_roles: case 170/212 768665878_708711765T
run_001 baseline_history_with_roles: case 171/212 768665878_606222292T
run_001 baseline_history_with_roles: case 172/212 768665878_231525826T
run_001 baseline_history_with_roles: case 173/212 768665878_222850852T
run_001 baseline_history_with_roles: case 174/212 768665878_439073409T
run_001 baseline_history_with_roles: case 175/212 768665878_824569390T
run_001 baseline_history_with_roles: case 176/212 779453397_731083259T
run_001 baseline_history_with_roles: case 177/212 789678521_905192291T
run_001 baseline_history_with_roles: case 178/212 789678521_762830767T
run_001 baseline_history_with_roles: case 179/212 789935900_641432724T
run_001 baseline_history_with_roles: case 180/212 796338848_474364730T
run_001 baseline_history_with_roles: case 181/212 796338848_932102262T
run_001 baseline_history_with_roles: case 182/212 796338848_115375297T
run_001 baseline_history_with_roles: case 183/212 798494909_581539980T
run_001 baseline_history_with_roles: case 184/212 811956194_422362760T
run_001 baseline_history_with_roles: case 185/212 811956194_984457418T
run_001 baseline_history_with_roles: case 186/212 811956194_824711994T
run_001 baseline_history_with_roles: case 187/212 814115206_892905526T
run_001 baseline_history_with_roles: case 188/212 814214500_661024171T
run_001 baseline_history_with_roles: case 189/212 814334279_368343132T
run_001 baseline_history_with_roles: case 190/212 814334279_845233432T
run_001 baseline_history_with_roles: case 191/212 814334279_212012873T
run_001 baseline_history_with_roles: case 192/212 828323548_985935722T
run_001 baseline_history_with_roles: case 193/212 848991802_308266590T
run_001 baseline_history_with_roles: case 194/212 848991802_250474858T
run_001 baseline_history_with_roles: case 195/212 867028076_544582727T
run_001 baseline_history_with_roles: case 196/212 873966444_911177755T
run_001 baseline_history_with_roles: case 197/212 873966444_698264161T
run_001 baseline_history_with_roles: case 198/212 873966444_329054140T
run_001 baseline_history_with_roles: case 199/212 873966444_915471547T
run_001 baseline_history_with_roles: case 200/212 873966444_327809567T
run_001 baseline_history_with_roles: case 201/212 899146717_729809896T
run_001 baseline_history_with_roles: case 202/212 899146717_313610711T
run_001 baseline_history_with_roles: case 203/212 910525626_600035121T
run_001 baseline_history_with_roles: case 204/212 924462846_581849960T
run_001 baseline_history_with_roles: case 205/212 924462846_585063651T
run_001 baseline_history_with_roles: case 206/212 924462846_941227886T
run_001 baseline_history_with_roles: case 207/212 924462846_205213706T
run_001 baseline_history_with_roles: case 208/212 924462846_242496413T
run_001 baseline_history_with_roles: case 209/212 941501469_299746162T
run_001 baseline_history_with_roles: case 210/212 959984288_485286730T
run_001 baseline_history_with_roles: case 211/212 959984288_094322396T
run_001 baseline_history_with_roles: case 212/212 973263042_325111768T
Finished run_001 baseline_history_with_roles.
baseline_history_with_roles metrics:
Rows evaluated: 212

Categorical accuracy:
  financing_initiation: 212/212 = 100.00% (skipped: 0)
  deal_type: 111/212 = 52.36% (skipped: 0)
  valuation_direction: 20/28 = 71.43% (skipped: 184)

Numeric error:
  deal_size:
    evaluated: 143 (skipped: 69)
    MAE: 13.614 M USD
    RMSE: 52.192 M USD
    MAPE: 2327.19%
    Median APE: 100.00%
    within +/-25%: 16.08%
    within +/-50%: 31.47%
  post_money_valuation:
    evaluated: 69 (skipped: 143)
    MAE: 61.331 M USD
    RMSE: 168.150 M USD
    MAPE: 259.62%
    Median APE: 70.51%
    within +/-25%: 13.04%
    within +/-50%: 28.99%
  investor_ownership:
    evaluated: 55 (skipped: 157)
    MAE: 25.559 pct
    RMSE: 30.409 pct
    MAPE: 60.93%
    Median APE: 60.09%
    within +/-25%: 18.18%
    within +/-50%: 40.00%

Wrote debate accuracy report to outputs/batch/pitchbook_007/run_001/debate_accuracy_report.md.
Aggregate metrics across all runs:
Rows evaluated: 212

Categorical accuracy:
  financing_initiation: 211/212 = 99.53% (skipped: 0)
  deal_type: 105/212 = 49.53% (skipped: 0)
  valuation_direction: 20/28 = 71.43% (skipped: 184)

Numeric error:
  deal_size:
    evaluated: 143 (skipped: 69)
    MAE: 14.686 M USD
    RMSE: 53.131 M USD
    MAPE: 3252.45%
    Median APE: 86.85%
    within +/-25%: 17.48%
    within +/-50%: 30.77%
  post_money_valuation:
    evaluated: 69 (skipped: 143)
    MAE: 65.600 M USD
    RMSE: 200.562 M USD
    MAPE: 292.23%
    Median APE: 67.15%
    within +/-25%: 15.94%
    within +/-50%: 42.03%
  investor_ownership:
    evaluated: 55 (skipped: 157)
    MAE: 20.058 pct
    RMSE: 23.914 pct
    MAPE: 54.86%
    Median APE: 40.25%
    within +/-25%: 20.00%
    within +/-50%: 70.91%
Aggregate baseline_history_only metrics:
Rows evaluated: 212

Categorical accuracy:
  financing_initiation: 212/212 = 100.00% (skipped: 0)
  deal_type: 106/212 = 50.00% (skipped: 0)
  valuation_direction: 20/28 = 71.43% (skipped: 184)

Numeric error:
  deal_size:
    evaluated: 143 (skipped: 69)
    MAE: 13.059 M USD
    RMSE: 41.537 M USD
    MAPE: 12289.58%
    Median APE: 185.71%
    within +/-25%: 11.89%
    within +/-50%: 23.08%
  post_money_valuation:
    evaluated: 69 (skipped: 143)
    MAE: 73.041 M USD
    RMSE: 183.783 M USD
    MAPE: 433.89%
    Median APE: 105.29%
    within +/-25%: 15.94%
    within +/-50%: 24.64%
  investor_ownership:
    evaluated: 55 (skipped: 157)
    MAE: 26.014 pct
    RMSE: 31.345 pct
    MAPE: 58.52%
    Median APE: 59.40%
    within +/-25%: 18.18%
    within +/-50%: 34.55%
Aggregate baseline_history_with_roles metrics:
Rows evaluated: 212

Categorical accuracy:
  financing_initiation: 212/212 = 100.00% (skipped: 0)
  deal_type: 111/212 = 52.36% (skipped: 0)
  valuation_direction: 20/28 = 71.43% (skipped: 184)

Numeric error:
  deal_size:
    evaluated: 143 (skipped: 69)
    MAE: 13.614 M USD
    RMSE: 52.192 M USD
    MAPE: 2327.19%
    Median APE: 100.00%
    within +/-25%: 16.08%
    within +/-50%: 31.47%
  post_money_valuation:
    evaluated: 69 (skipped: 143)
    MAE: 61.331 M USD
    RMSE: 168.150 M USD
    MAPE: 259.62%
    Median APE: 70.51%
    within +/-25%: 13.04%
    within +/-50%: 28.99%
  investor_ownership:
    evaluated: 55 (skipped: 157)
    MAE: 25.559 pct
    RMSE: 30.409 pct
    MAPE: 60.93%
    Median APE: 60.09%
    within +/-25%: 18.18%
    within +/-50%: 40.00%
Wrote aggregate metrics to outputs/batch/pitchbook_007/aggregate_metrics.json.
Wrote aggregate per-case metrics to outputs/batch/pitchbook_007/case_metrics.csv.
LLM total tokens reported by provider: 2907434.
